batter_pool,batter_name,batter_id,batter_season,pitcher_pool,pitcher_name,pitcher_id,pitcher_season,n_pa,k_pct,bb_pct,hr_pct,avg,obp,slg,babip,matchup_seed,k_flag,bb_flag,hr_flag,babip_flag,avg_flag,any_flag
Deadball,Nap Lajoie,lajoina01,1901,Control,Phil Hughes,hugheph01,2014,10000,0.1155,0.0152,0.075,0.391,0.406,0.731,0.391,3527163296,False,False,False,True,False,True
Deadball,Nap Lajoie,lajoina01,1901,K-Kings,Gerrit Cole,colege01,2019,10000,0.1448,0.0509,0.0619,0.366,0.405,0.661,0.385,3291921469,False,False,False,True,False,True
Deadball,Nap Lajoie,lajoina01,1901,Control,George Kirby,kirbyge01,2023,10000,0.1083,0.0151,0.0753,0.407,0.422,0.754,0.406,3362166678,False,False,False,True,False,True
Deadball,Jesse Burkett,burkeje01,1901,K-Kings,Walter Johnson,johnswa01,1910,10000,0.2404,0.0852,0.0111,0.18,0.258,0.244,0.233,2261083159,False,False,False,True,False,True
Deadball,Jesse Burkett,burkeje01,1901,K-Kings,Pedro Martinez,martipe02,1999,10000,0.2453,0.0641,0.0114,0.176,0.237,0.243,0.226,1079201158,False,False,False,True,False,True
Deadball,Jesse Burkett,burkeje01,1901,Control,Carlos Silva,silvaca01,2005,10000,0.1573,0.0494,0.0264,0.322,0.362,0.485,0.365,1332568384,False,False,False,True,False,True
Deadball,Ed Delahanty,delahed01,1902,Control,Bill Burns,burnsbi01,1908,10000,0.0961,0.0732,0.0567,0.394,0.445,0.692,0.399,985481443,False,False,False,True,False,True
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Bob Harmon,harmobo01,1911,10000,0.0999,0.126,0.0562,0.397,0.479,0.715,0.405,4117119388,False,False,False,True,False,True
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Elmer Myers,myersel01,1916,10000,0.137,0.1283,0.0454,0.359,0.448,0.62,0.388,3391469124,False,False,False,True,False,True
Deadball,Ed Delahanty,delahed01,1902,Control,Babe Adams,adamsba01,1920,10000,0.1324,0.0558,0.0512,0.371,0.413,0.644,0.393,502216059,False,False,False,True,False,True
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Bump Hadley,hadlebu01,1932,10000,0.1599,0.1378,0.0373,0.328,0.429,0.544,0.369,3466862900,False,False,False,True,False,True
Deadball,Ed Delahanty,delahed01,1902,Control,Red Lucas,lucasre01,1933,10000,0.0621,0.0593,0.0624,0.421,0.461,0.742,0.409,3861012586,False,False,False,True,True,True
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Bobo Newsom,newsobo01,1938,10000,0.1612,0.121,0.0377,0.323,0.413,0.536,0.362,770711776,False,False,False,True,False,True
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Tommy Byrne,byrneto01,1949,10000,0.1425,0.1376,0.0442,0.338,0.438,0.585,0.366,3177015157,False,False,False,True,False,True
Deadball,Ed Delahanty,delahed01,1902,Wild-Flames,Sam Jones,jonessa02,1955,10000,0.1521,0.1222,0.0418,0.331,0.421,0.562,0.365,261757064,False,False,False,True,False,True
Deadball,Ed Delahanty,delahed01,1902,Control,Dennis Eckersley,eckerde01,1985,10000,0.1388,0.0636,0.0507,0.36,0.408,0.628,0.384,2194982162,False,False,False,True,False,True
Deadball,Ed Delahanty,delahed01,1902,Control,Bret Saberhagen,saberbr01,1994,10000,0.1363,0.0605,0.0553,0.356,0.4,0.634,0.373,1277687345,False,False,False,True,False,True
Deadball,Ed Delahanty,delahed01,1902,Control,Jon Lieber,liebejo01,2004,10000,0.0892,0.0604,0.0573,0.399,0.443,0.704,0.401,3458355460,False,False,False,True,False,True
Deadball,Ed Delahanty,delahed01,1902,Control,Carlos Silva,silvaca01,2005,10000,0.0578,0.0644,0.0648,0.419,0.463,0.751,0.403,1627659123,False,False,False,True,True,True
Deadball,Ed Delahanty,delahed01,1902,Control,Cliff Lee,leecl02,2010,10000,0.1295,0.0605,0.0536,0.362,0.407,0.639,0.38,2211037013,False,False,False,True,False,True
Deadball,Ed Delahanty,delahed01,1902,Control,Phil Hughes,hugheph01,2014,10000,0.1143,0.0628,0.0533,0.372,0.417,0.65,0.384,1908580157,False,False,False,True,False,True
Deadball,Ed Delahanty,delahed01,1902,K-Kings,Gerrit Cole,colege01,2019,10000,0.1509,0.0898,0.0444,0.336,0.402,0.57,0.366,654491285,False,False,False,True,False,True
Deadball,Ed Delahanty,delahed01,1902,Control,George Kirby,kirbyge01,2023,10000,0.1124,0.0613,0.0587,0.38,0.424,0.676,0.389,2324342246,False,False,False,True,False,True
Deadball,Cy Seymour,seymocy01,1905,Control,Bill Burns,burnsbi01,1908,10000,0.1114,0.0572,0.0401,0.372,0.415,0.615,0.393,3549021879,False,False,False,True,False,True
Deadball,Cy Seymour,seymocy01,1905,Wild-Flames,Bob Harmon,harmobo01,1911,10000,0.117,0.1112,0.0424,0.367,0.445,0.623,0.39,2807735430,False,False,False,True,False,True
Deadball,Cy Seymour,seymocy01,1905,Wild-Flames,Elmer Myers,myersel01,1916,10000,0.1465,0.1131,0.0325,0.342,0.425,0.553,0.383,2785490890,False,False,False,True,False,True
Deadball,Cy Seymour,seymocy01,1905,Control,Babe Adams,adamsba01,1920,10000,0.1407,0.0461,0.0376,0.355,0.392,0.581,0.388,1167793205,False,False,False,True,False,True
