batter_pool,batter_name,batter_id,batter_season,pitcher_pool,pitcher_name,pitcher_id,pitcher_season,n_pa,k_pct,bb_pct,hr_pct,avg,obp,slg,babip,matchup_seed
Deadball,Nap Lajoie,lajoina01,1901,Control,Babe Adams,adamsba01,1920,10000,0.1292,0.0157,0.0689,0.384,0.401,0.706,0.393,243059654
Deadball,Nap Lajoie,lajoina01,1901,Control,Harry Salmon,salmoha01,1929,10000,0.1723,0.018,0.0587,0.337,0.355,0.597,0.362,1396762989
Deadball,Nap Lajoie,lajoina01,1901,Wild-Flames,Bump Hadley,hadlebu01,1932,10000,0.1565,0.0958,0.0529,0.351,0.423,0.62,0.382,3736094083
Deadball,Nap Lajoie,lajoina01,1901,Control,Red Lucas,lucasre01,1933,10000,0.0544,0.0154,0.0782,0.436,0.45,0.798,0.412,2996249837
Deadball,Nap Lajoie,lajoina01,1901,Wild-Flames,Bob Feller,fellebo01,1938,10000,0.1758,0.0894,0.0548,0.316,0.387,0.574,0.343,1304568984
Deadball,Nap Lajoie,lajoina01,1901,Wild-Flames,Bobo Newsom,newsobo01,1938,10000,0.1536,0.0791,0.0541,0.34,0.4,0.608,0.363,2479483780
Deadball,Nap Lajoie,lajoina01,1901,K-Kings,Bob Feller,fellebo01,1946,10000,0.1773,0.0691,0.0494,0.306,0.36,0.539,0.334,934936207
Deadball,Nap Lajoie,lajoina01,1901,Wild-Flames,Tommy Byrne,byrneto01,1949,10000,0.1369,0.0879,0.0619,0.358,0.424,0.657,0.371,1210068266
Deadball,Nap Lajoie,lajoina01,1901,Wild-Flames,Bob Turley,turlebo01,1954,10000,0.1451,0.0854,0.0618,0.337,0.402,0.624,0.348,2290000886
Deadball,Nap Lajoie,lajoina01,1901,Wild-Flames,Sam Jones,jonessa02,1955,10000,0.1432,0.09,0.0625,0.36,0.426,0.665,0.377,572133211
Deadball,Nap Lajoie,lajoina01,1901,K-Kings,Sandy Koufax,koufasa01,1965,10000,0.1533,0.0478,0.0638,0.356,0.393,0.653,0.375,1224341947
Deadball,Nap Lajoie,lajoina01,1901,K-Kings,Sam McDowell,mcdowsa01,1965,10000,0.1512,0.0798,0.0552,0.331,0.393,0.597,0.35,1620280313
Deadball,Nap Lajoie,lajoina01,1901,K-Kings,Nolan Ryan,ryanno01,1973,10000,0.1593,0.0825,0.0551,0.328,0.391,0.589,0.35,2242172917
Deadball,Nap Lajoie,lajoina01,1901,Wild-Flames,Nolan Ryan,ryanno01,1977,10000,0.1601,0.0898,0.0593,0.323,0.392,0.597,0.339,1824474809
Deadball,Nap Lajoie,lajoina01,1901,Control,Dennis Eckersley,eckerde01,1985,10000,0.1193,0.0171,0.0764,0.396,0.412,0.739,0.397,2562265
Deadball,Nap Lajoie,lajoina01,1901,Control,Bret Saberhagen,saberbr01,1994,10000,0.1319,0.0158,0.0687,0.369,0.384,0.676,0.375,1380625692
Deadball,Nap Lajoie,lajoina01,1901,K-Kings,Curt Schilling,schilcu01,1997,10000,0.1509,0.0437,0.0637,0.356,0.391,0.645,0.374,896880977
Deadball,Nap Lajoie,lajoina01,1901,K-Kings,Pedro Martinez,martipe02,1999,10000,0.1646,0.0305,0.0566,0.311,0.338,0.558,0.327,644570940
Deadball,Nap Lajoie,lajoina01,1901,K-Kings,Randy Johnson,johnsra05,2001,10000,0.164,0.0556,0.0574,0.329,0.373,0.593,0.351,3581137935
Deadball,Nap Lajoie,lajoina01,1901,Control,Jon Lieber,liebejo01,2004,10000,0.0833,0.0169,0.078,0.426,0.441,0.785,0.415,1031245459
Deadball,Nap Lajoie,lajoina01,1901,Control,Carlos Silva,silvaca01,2005,10000,0.0463,0.0156,0.0785,0.435,0.448,0.801,0.406,2474508365
Deadball,Nap Lajoie,lajoina01,1901,Control,Cliff Lee,leecl02,2010,10000,0.1193,0.0144,0.0701,0.384,0.4,0.709,0.388,3280716132
Deadball,Nap Lajoie,lajoina01,1901,Control,Phil Hughes,hugheph01,2014,10000,0.1155,0.0152,0.075,0.391,0.406,0.731,0.391,3527163296
Deadball,Nap Lajoie,lajoina01,1901,K-Kings,Gerrit Cole,colege01,2019,10000,0.1448,0.0509,0.0619,0.366,0.405,0.661,0.385,3291921469
Deadball,Nap Lajoie,lajoina01,1901,Control,George Kirby,kirbyge01,2023,10000,0.1083,0.0151,0.0753,0.407,0.422,0.754,0.406,3362166678
Deadball,Jesse Burkett,burkeje01,1901,K-Kings,Rube Waddell,wadderu01,1904,10000,0.2516,0.0967,0.0118,0.208,0.293,0.286,0.277,1334108446
Deadball,Jesse Burkett,burkeje01,1901,Control,Bill Burns,burnsbi01,1908,10000,0.1812,0.0606,0.0207,0.29,0.34,0.423,0.342,554321602
Deadball,Jesse Burkett,burkeje01,1901,K-Kings,Walter Johnson,johnswa01,1910,10000,0.2404,0.0852,0.0111,0.18,0.258,0.244,0.233,2261083159
Deadball,Jesse Burkett,burkeje01,1901,Wild-Flames,Bob Harmon,harmobo01,1911,10000,0.1858,0.1134,0.0211,0.282,0.372,0.423,0.338,4154437689
Deadball,Jesse Burkett,burkeje01,1901,Wild-Flames,Weldon Wyckoff,wyckowe01,1915,10000,0.2064,0.1216,0.0141,0.215,0.321,0.301,0.267,4066886130
Deadball,Jesse Burkett,burkeje01,1901,Wild-Flames,Elmer Myers,myersel01,1916,10000,0.2074,0.1164,0.0174,0.257,0.352,0.372,0.319,464273209
Deadball,Jesse Burkett,burkeje01,1901,Control,Babe Adams,adamsba01,1920,10000,0.2012,0.0527,0.0188,0.263,0.309,0.376,0.317,2438947303
Deadball,Jesse Burkett,burkeje01,1901,Control,Harry Salmon,salmoha01,1929,10000,0.2578,0.0507,0.0109,0.219,0.267,0.296,0.291,2912432349
Deadball,Jesse Burkett,burkeje01,1901,Wild-Flames,Bump Hadley,hadlebu01,1932,10000,0.2361,0.1254,0.0122,0.226,0.331,0.317,0.297,4276997552
Deadball,Jesse Burkett,burkeje01,1901,Control,Red Lucas,lucasre01,1933,10000,0.1647,0.0504,0.0266,0.312,0.354,0.473,0.356,940223651
Deadball,Jesse Burkett,burkeje01,1901,Wild-Flames,Bob Feller,fellebo01,1938,10000,0.2426,0.1246,0.0106,0.202,0.311,0.277,0.269,1348980968
Deadball,Jesse Burkett,burkeje01,1901,Wild-Flames,Bobo Newsom,newsobo01,1938,10000,0.2341,0.1174,0.0134,0.231,0.33,0.327,0.301,648345470
Deadball,Jesse Burkett,burkeje01,1901,K-Kings,Bob Feller,fellebo01,1946,10000,0.2564,0.1008,0.0119,0.189,0.281,0.259,0.252,3157442166
Deadball,Jesse Burkett,burkeje01,1901,Wild-Flames,Tommy Byrne,byrneto01,1949,10000,0.2252,0.1211,0.0146,0.225,0.329,0.317,0.288,3335963565
Deadball,Jesse Burkett,burkeje01,1901,Wild-Flames,Bob Turley,turlebo01,1954,10000,0.221,0.1189,0.0122,0.196,0.299,0.268,0.248,4264022178
Deadball,Jesse Burkett,burkeje01,1901,Wild-Flames,Sam Jones,jonessa02,1955,10000,0.2288,0.126,0.0132,0.226,0.334,0.316,0.294,300785292
Deadball,Jesse Burkett,burkeje01,1901,K-Kings,Sandy Koufax,koufasa01,1965,10000,0.2395,0.0731,0.0115,0.233,0.296,0.313,0.303,3471046355
Deadball,Jesse Burkett,burkeje01,1901,K-Kings,Sam McDowell,mcdowsa01,1965,10000,0.2281,0.1076,0.0137,0.19,0.285,0.27,0.24,1689647332
