player_id,player_name,season_year,role,position_group_used,PA_BF,RAR_bat,RAR_pit,WAR,salary
walkebi01,Bill Walker,1927,pitcher,SP,23,0.0,0.23,0.02,1557059
darrmi02,Mike Darr,2000,hitter,UTIL,600,0.23,0.0,0.02,1557059
charlos99,Oscar Charleston,1927,pitcher,SP,15,0.0,0.14,0.01,1528529
hallpe01,Perry Hall,1927,pitcher,SP,4,0.0,0.06,0.01,1528529
smithru01,Rufus Smith,1927,pitcher,SP,37,0.0,0.11,0.01,1528529
beallwa01,Walter Beall,1927,pitcher,SP,4,0.0,0.09,0.01,1528529
brownjo03,Joe Brown,1927,pitcher,SP,3,0.0,0.15,0.01,1528529
hackesp01,Speedball Hackett,1927,pitcher,SP,7,0.0,0.05,0.01,1528529
johnsau01,Augie Johns,1927,pitcher,SP,5,0.0,0.1,0.01,1528529
portene01,Ned Porter,1927,pitcher,SP,10,0.0,0.12,0.01,1528529
vanalcl01,Clay Van Alstyne,1927,pitcher,SP,12,0.0,0.11,0.01,1528529
culloni02,Nick Cullop,1927,pitcher,SP,5,0.0,0.01,0.0,1500000
davissa02,Saul Davis,1927,pitcher,SP,2,0.0,0.03,0.0,1500000
neunjo01,Johnny Neun,1927,hitter,UTIL,600,-0.05,0.0,-0.0,1500000
stewafr01,Frank Stewart,1927,pitcher,SP,19,0.0,0.04,0.0,1500000
wetzebu01,Buzz Wetzel,1927,pitcher,SP,25,0.0,0.03,0.0,1500000
knighja01,Jack Knight,1927,pitcher,SP,16,0.0,-0.05,-0.0,1500000
lucasbi01,Bill Lucas,1927,pitcher,SP,7,0.0,0.0,0.0,1500000
spruijo01,Joe Spruill,1927,pitcher,SP,8,0.0,0.03,0.0,1500000
yerkeca01,Carroll Yerkes,1927,pitcher,SP,4,0.0,0.04,0.0,1500000
blackle01,Lena Blackburne,1927,hitter,UTIL,600,-0.11,0.0,-0.01,1500000
fribebe01,Bernie Friberg,1927,hitter,UTIL,600,-0.12,0.0,-0.01,1500000
lewismi01,Milton Lewis,1927,pitcher,SP,18,0.0,-0.12,-0.01,1500000
mossra01,Ray Moss,1927,pitcher,SP,35,0.0,-0.07,-0.01,1500000
rudoldi01,Dick Rudolph,1927,pitcher,SP,6,0.0,-0.06,-0.01,1500000
mckaiha01,Hal McKain,1927,pitcher,SP,51,0.0,-0.15,-0.02,1500000
wileyfr01,Fred Wiley,1927,pitcher,SP,38,0.0,-0.16,-0.02,1500000
chriscu01,Walter Christensen,1927,hitter,UTIL,600,-0.26,0.0,-0.03,1500000
gilligr01,Grant Gillis,1927,hitter,UTIL,600,-0.33,0.0,-0.03,1500000
levsedu01,Emil Levsen,1927,pitcher,SP,365,0.0,-0.26,-0.03,1500000
rossho01,Howard Ross,1927,pitcher,SP,148,0.0,-0.32,-0.03,1500000
smithsh01,Sherry Smith,1927,pitcher,SP,175,0.0,-0.3,-0.03,1500000
snydefr01,Frank Snyder,1927,hitter,UTIL,600,-0.28,0.0,-0.03,1500000
taberle01,Lefty Taber,1927,pitcher,SP,25,0.0,-0.33,-0.03,1500000
furcara01,Rafael Furcal,2000,hitter,UTIL,600,-0.26,0.0,-0.03,1500000
holmwa01,Wattie Holm,1927,hitter,UTIL,600,-0.43,0.0,-0.04,1500000
mahafro01,Roy Mahaffey,1927,pitcher,SP,45,0.0,-0.37,-0.04,1500000
bellle01,Les Bell,1927,hitter,UTIL,600,-0.54,0.0,-0.05,1500000
bellde01,Derek Bell,2000,hitter,UTIL,600,-0.49,0.0,-0.05,1500000
coomero01,Ron Coomer,2000,hitter,UTIL,600,-0.54,0.0,-0.05,1500000
roettwa01,Wally Roettger,1927,hitter,UTIL,600,-0.59,0.0,-0.06,1500000
westsa01,Sam West,1927,hitter,UTIL,600,-0.63,0.0,-0.06,1500000
haltesh01,Shane Halter,2000,hitter,UTIL,600,-0.61,0.0,-0.06,1500000
faulkji01,Jim Faulkner,1927,pitcher,SP,47,0.0,-0.74,-0.07,1500000
greenwi01,Willie Greene,2000,hitter,UTIL,600,-0.69,0.0,-0.07,1500000
birdile01,Leo Birdine,1927,pitcher,SP,37,0.0,-0.84,-0.08,1500000
jamiech01,Charlie Jamieson,1927,hitter,UTIL,600,-0.84,0.0,-0.08,1500000
monrodo01,Douglass Monroe,1927,hitter,UTIL,600,-0.83,0.0,-0.08,1500000
jonesjo03,Johnny Jones,1927,hitter,UTIL,600,-0.86,0.0,-0.09,1500000
morrigu01,Guy Morrison,1927,pitcher,SP,158,0.0,-0.88,-0.09,1500000
davisru01,Russ Davis,2000,hitter,UTIL,600,-0.92,0.0,-0.09,1500000
garcich03,Chano García,1927,hitter,UTIL,600,-1.12,0.0,-0.11,1500000
greensc01,Scarborough Green,2000,hitter,UTIL,600,-1.09,0.0,-0.11,1500000
cummich01,Chance Cummings,1927,hitter,UTIL,600,-1.16,0.0,-0.12,1500000
morehra01,Ray Morehart,1927,hitter,UTIL,600,-1.22,0.0,-0.12,1500000
wardaa01,Aaron Ward,1927,hitter,UTIL,600,-1.21,0.0,-0.12,1500000
brownbr01,Brant Brown,2000,hitter,UTIL,600,-1.33,0.0,-0.13,1500000
devoral01,Al DeVormer,1927,hitter,UTIL,600,-1.39,0.0,-0.14,1500000
rothrja01,Jack Rothrock,1927,hitter,UTIL,600,-1.42,0.0,-0.14,1500000
millebi02,Bing Miller,1927,hitter,UTIL,600,-1.55,0.0,-0.15,1500000
reganbi01,Bill Regan,1927,hitter,UTIL,600,-1.55,0.0,-0.15,1500000
wrighru01,Russ Wrightstone,1927,hitter,UTIL,600,-1.53,0.0,-0.15,1500000
cedenro01,Roger Cedeno,2000,hitter,UTIL,600,-1.55,0.0,-0.15,1500000
guillca01,Carlos Guillen,2000,hitter,UTIL,600,-1.55,0.0,-0.15,1500000
murrami02,Mitchell Murray,1927,hitter,UTIL,600,-1.57,0.0,-0.16,1500000
southbi01,Billy Southworth,1927,hitter,UTIL,600,-1.58,0.0,-0.16,1500000
davisbe01,Ben Davis,2000,hitter,UTIL,600,-1.67,0.0,-0.17,1500000
corgach01,Chuck Corgan,1927,hitter,UTIL,600,-1.76,0.0,-0.18,1500000
shanewa01,Wally Shaner,1927,hitter,UTIL,600,-1.8,0.0,-0.18,1500000
hambyji01,Jim Hamby,1927,hitter,UTIL,600,-1.91,0.0,-0.19,1500000
hargrch01,Charlie Hargreaves,1927,hitter,UTIL,600,-1.88,0.0,-0.19,1500000
gonzaal01,Alex Gonzalez,2000,hitter,UTIL,600,-1.92,0.0,-0.19,1500000
summeta01,Tack Summers,1927,hitter,UTIL,600,-1.95,0.0,-0.2,1500000
taylobe99,Ben Taylor,1927,hitter,UTIL,600,-2.04,0.0,-0.2,1500000
vargate01,Tetelo Vargas,1927,hitter,UTIL,600,-2.04,0.0,-0.2,1500000
anderbr01,Brady Anderson,2000,hitter,UTIL,600,-2.02,0.0,-0.2,1500000
gutieri01,Ricky Gutierrez,2000,hitter,UTIL,600,-1.96,0.0,-0.2,1500000
bonilbo01,Bobby Bonilla,2000,hitter,UTIL,600,-2.12,0.0,-0.21,1500000
delgawi01,Wilson Delgado,2000,hitter,UTIL,600,-2.05,0.0,-0.21,1500000
encarju01,Juan Encarnacion,2000,hitter,UTIL,600,-2.09,0.0,-0.21,1500000
guilljo01,Jose Guillen,2000,hitter,UTIL,600,-2.21,0.0,-0.22,1500000
brayja01,James Bray,1927,hitter,UTIL,600,-2.33,0.0,-0.23,1500000
seaydi01,Dick Seay,1927,hitter,UTIL,600,-2.31,0.0,-0.23,1500000
toporsp01,George Toporcer,1927,hitter,UTIL,600,-2.26,0.0,-0.23,1500000
odonnha01,Harry O'Donnell,1927,hitter,UTIL,600,-2.41,0.0,-0.24,1500000
brickfr01,Fred Brickell,1927,hitter,UTIL,600,-2.46,0.0,-0.25,1500000
scottbo01,Bob Scott,1927,hitter,UTIL,600,-2.5,0.0,-0.25,1500000
bautida01,Danny Bautista,2000,hitter,UTIL,600,-2.5,0.0,-0.25,1500000
crousbu01,Buck Crouse,1927,hitter,UTIL,600,-2.58,0.0,-0.26,1500000
sierrfe01,Felipe Sierra,1927,hitter,UTIL,600,-2.56,0.0,-0.26,1500000
coonejo01,Johnny Cooney,1927,hitter,UTIL,600,-2.7,0.0,-0.27,1500000
karrbe01,Benn Karr,1927,pitcher,SP,341,0.0,-2.69,-0.27,1500000
owenswi01,Will Owens,1927,hitter,UTIL,600,-2.71,0.0,-0.27,1500000
starkji01,Jim Starks,1927,hitter,UTIL,600,-2.69,0.0,-0.27,1500000
alicelu01,Luis Alicea,2000,hitter,UTIL,600,-2.71,0.0,-0.27,1500000
ariasal01,Alex Arias,2000,hitter,UTIL,600,-2.72,0.0,-0.27,1500000
bobowi01,Willie Bobo,1927,hitter,UTIL,600,-2.87,0.0,-0.29,1500000
critzhu01,Hughie Critz,1927,hitter,UTIL,600,-2.86,0.0,-0.29,1500000
luquedo01,Dolf Luque,1927,pitcher,SP,750,0.0,-2.9,-0.29,1500000
patejo01,Joe Pate,1927,pitcher,SP,249,0.0,-2.91,-0.29,1500000
tysonty01,Ty Tyson,1927,hitter,UTIL,600,-2.94,0.0,-0.29,1500000
cairomi01,Miguel Cairo,2000,hitter,UTIL,600,-2.9,0.0,-0.29,1500000
milleot02,Otis Miller,1927,hitter,UTIL,600,-2.96,0.0,-0.3,1500000
wilsoji01,Jimmie Wilson,1927,hitter,UTIL,600,-2.99,0.0,-0.3,1500000
sewelto01,Tommy Sewell,1927,hitter,UTIL,600,-3.13,0.0,-0.31,1500000
buhneja01,Jay Buhner,2000,hitter,UTIL,600,-3.08,0.0,-0.31,1500000
allenet01,Ethan Allen,1927,hitter,UTIL,600,-3.15,0.0,-0.32,1500000
barnach01,Charlie Barnabe,1927,pitcher,SP,284,0.0,-3.2,-0.32,1500000
malarda01,Dave Malarcher,1927,hitter,UTIL,600,-3.15,0.0,-0.32,1500000
mcnamdi01,Dinny McNamara,1927,hitter,UTIL,600,-3.23,0.0,-0.32,1500000
tuckeol01,Ollie Tucker,1927,hitter,UTIL,600,-3.21,0.0,-0.32,1500000
barneje01,Jesse Barnes,1927,pitcher,SP,360,0.0,-3.32,-0.33,1500000
branodu01,Dud Branom,1927,hitter,UTIL,600,-3.25,0.0,-0.33,1500000
correfr01,Francisco Correa,1927,hitter,UTIL,600,-3.29,0.0,-0.33,1500000
johnsbi05,Bill Johnson,1927,hitter,UTIL,600,-3.41,0.0,-0.34,1500000
karowma01,Marty Karow,1927,hitter,UTIL,600,-3.4,0.0,-0.34,1500000
mcallge01,George McAllister,1927,hitter,UTIL,600,-3.36,0.0,-0.34,1500000
zachato01,Tom Zachary,1927,pitcher,SP,750,0.0,-3.44,-0.34,1500000
caseyse01,Sean Casey,2000,hitter,UTIL,600,-3.42,0.0,-0.34,1500000
castilu01,Luis Castillo,2000,hitter,UTIL,600,-3.39,0.0,-0.34,1500000
castrju01,Juan Castro,2000,hitter,UTIL,600,-3.42,0.0,-0.34,1500000
diazei01,Einar Diaz,2000,hitter,UTIL,600,-3.44,0.0,-0.34,1500000
dixonge01,George Dixon,1927,hitter,UTIL,600,-3.47,0.0,-0.35,1500000
peckiro01,Roger Peckinpaugh,1927,hitter,UTIL,600,-3.54,0.0,-0.35,1500000
sislege01,George Sisler,1927,hitter,UTIL,600,-3.49,0.0,-0.35,1500000
alexama02,Manny Alexander,2000,hitter,UTIL,600,-3.47,0.0,-0.35,1500000
alomasa02,Sandy Alomar,2000,hitter,UTIL,600,-3.48,0.0,-0.35,1500000
bellco99,Cool Papa Bell,1927,hitter,UTIL,600,-3.57,0.0,-0.36,1500000
chacope01,Pelayo Chacón,1927,hitter,UTIL,600,-3.59,0.0,-0.36,1500000
dialslo01,Lou Dials,1927,hitter,UTIL,600,-3.56,0.0,-0.36,1500000
songedo01,Don Songer,1927,pitcher,SP,255,0.0,-3.6,-0.36,1500000
tatebe01,Bennie Tate,1927,hitter,UTIL,600,-3.58,0.0,-0.36,1500000
febleca01,Carlos Febles,2000,hitter,UTIL,600,-3.58,0.0,-0.36,1500000
adamssp01,Sparky Adams,1927,hitter,UTIL,600,-3.67,0.0,-0.37,1500000
bishoma01,Max Bishop,1927,hitter,UTIL,600,-3.72,0.0,-0.37,1500000
brownco02,Country Brown,1927,hitter,UTIL,600,-3.7,0.0,-0.37,1500000
loweki01,Kid Lowe,1927,hitter,UTIL,600,-3.71,0.0,-0.37,1500000
onsloed01,Eddie Onslow,1927,hitter,UTIL,600,-3.74,0.0,-0.37,1500000
